NAME,CITY,STATE,Latitude,Longitude,Altitude
Riverside Park,East Albany,NY,42.642295,-73.745198,14
Columbia Park,Altoona,PA,40.494582,-78.411164,1129
Angel Stadium,Anaheim,CA,33.80029,-117.882685,154
Angel Stadium of Anaheim,Anaheim,CA,33.80029,-117.882685,154
Arlington Stadium,Arlington,TX,32.755974,-97.084778,552
Globe Life Park in Arlington,Arlington,TX,32.751164,-97.082546,549
Globe Life Field,Arlington,,32.751164,-97.082546,549
Atlanta-Fulton County Stadium,Atlanta,GA,33.739457,-84.389486,979
Turner Field,Atlanta,GA,33.735487,-84.389464,939
SunTrust Park,Atlanta,GA,33.89127,-84.4681,981
Truist Park,Atlanta,GA,33.89127,-84.4681,981
Madison Avenue Grounds,Baltimore,MD,39.309376,-76.632022,167
Newington Park,Baltimore,MD,39.307192,-76.640809,195
Oriole Park I,Baltimore,MD,39.317701,-76.610897,164
Belair Lot,Baltimore,MD,39.294656,-76.604953,25
Monumental Park,Baltimore,MD,39.29044,-76.612154,32
Oriole Park II,Baltimore,MD,39.322914,-76.610017,194
Oriole Park III,Baltimore,MD,39.317361,-76.612034,153
Oriole Park IV,Baltimore,MD,39.323868,-76.609953,202
Terrapin Park,Baltimore,MD,39.324001,-76.60991,203
Memorial Stadium,Baltimore,MD,39.330001,-76.601488,231
Oriole Park at Camden Yards,Baltimore,MD,39.283944,-76.621572,35
South End Grounds I,Boston,MA,42.336836,-71.087769,11
Dartmouth Grounds,Boston,MA,42.316513,-71.100641,66
South End Grounds II,Boston,MA,42.336836,-71.087769,11
Congress Street Grounds,Boston,MA,42.350129,-71.047297,9
South End Grounds III,Boston,MA,42.336859,-71.087692,11
Huntington Avenue Baseball Grounds,Boston,MA,42.339199,-71.08913,8
Fenway Park,Boston,MA,42.346561,-71.097337,16
Braves Field,Boston,MA,42.353233,-71.119465,26
Riverside Grounds,Buffalo,NY,42.906379,-78.892599,631
Olympic Park I,Buffalo,NY,42.905634,-78.881282,632
Olympic Park II,Buffalo,NY,42.91453,-78.861669,630
International Fair Association Grounds,Buffalo,NY,42.918747,-78.851486,630
Mahaffey Park,Canton,OH,40.815035,-81.412099,1058
Pastime Park,Canton,OH,40.81132,-81.4234,1058
White Stocking Grounds,Chicago,IL,41.883641,-87.623245,585
23rd Street Park,Chicago,IL,41.851747,-87.62906,599
White Stocking Park,Chicago,IL,41.883641,-87.623245,585
South Side Park I,Chicago,IL,41.82297,-87.624017,599
West Side Park,Chicago,IL,41.874902,-87.660903,588
South Side Park II,Chicago,IL,41.832116,-87.629939,595
West Side Grounds,Chicago,IL,41.870218,-87.67251,593
South Side Park III,Chicago,IL,41.824857,-87.632664,594
Comiskey Park I,Chicago,IL,41.83201,-87.634025,594
Wrigley Field,Chicago,IL,41.948314,-87.655397,599
Guaranteed Rate Field,Chicago,IL,41.829892,-87.633703,594
U.S. Cellular Field,Chicago,IL,41.829892,-87.633703,594
Lincoln Park Grounds,Cincinnati,OH,39.109827,-84.534652,513
Avenue Grounds,Cincinnati,OH,39.142878,-84.54647,480
Bank Street Grounds,Cincinnati,OH,39.121126,-84.536923,496
League Park I,Cincinnati,OH,39.116854,-84.535505,488
League Park II,Cincinnati,OH,39.116804,-84.53587,489
Palace of the Fans,Cincinnati,OH,39.116804,-84.53587,489
Crosley Field,Cincinnati,OH,39.116854,-84.535505,488
Riverfront Stadium,Cincinnati,OH,39.096548,-84.509756,489
Great American Ball Park,Cincinnati,OH,39.097213,-84.506483,489
National Association Grounds,Cleveland,OH,41.484704,-81.649883,674
National League Park I,Cleveland,OH,41.500804,-81.654278,667
National League Park II,Cleveland,OH,41.503823,-81.661583,660
Brotherhood Park,Cleveland,OH,41.483916,-81.648909,651
League Park III,Cleveland,OH,41.511852,-81.643766,644
League Park IV,Cleveland,OH,41.511852,-81.643766,644
Cleveland Stadium,Cleveland,OH,41.506091,-81.699404,593
Progressive Field,Cleveland,OH,41.496005,-81.685326,673
Cedar Avenue Driving Park,Cleveland,OH,41.500586,-81.632946,673
Euclid Beach Park,Collinwood,OH,41.577927,-81.565971,604
Recreation Park I,Columbus,OH,39.957374,-82.980276,788
Recreation Park II,Columbus,OH,39.945109,-82.98933,758
Neil Park I,Columbus,OH,39.972455,-82.990297,783
Neil Park II,Columbus,OH,39.972455,-82.990297,783
Star Baseball Park,Covington,KY,39.07032,-84.506412,509
Fairview Park,Dayton,OH,39.786302,-84.213033,824
Mile High Stadium,Denver,CO,39.746293,-105.021939,5211
Coors Field,Denver,CO,39.756175,-104.99413,5197
Recreation Park,Detroit,MI,42.353487,-83.0564,625
Bennett Park,Detroit,MI,42.332541,-83.068732,601
Burns Park,Detroit,MI,42.318309,-83.127755,590
Tiger Stadium,Detroit,MI,42.332541,-83.068732,601
Comerica Park,Detroit,MI,42.339063,-83.048627,602
